Time,Temperature,Humidity,AirQuality
2024-01-08 16:44:24,27.4,35.4,High
2024-01-08 16:44:26,27.4,35.4,High
2024-01-08 16:44:28,27.4,35.5,High
2024-01-08 16:44:30,27.4,35.4,High
2024-01-08 16:44:33,27.4,35.4,High
2024-01-08 16:44:35,27.4,35.4,High
2024-01-08 16:44:37,27.4,35.5,High
2024-01-08 16:44:39,27.4,35.5,High
2024-01-08 16:44:42,27.4,35.4,High
2024-01-08 16:44:44,27.4,35.4,High
2024-01-08 16:44:46,27.4,35.4,High
2024-01-08 16:44:48,27.4,35.4,High
2024-01-08 16:44:51,27.4,35.4,High
2024-01-08 16:44:53,27.4,35.4,High
2024-01-08 16:44:55,27.4,35.4,High
2024-01-08 16:44:57,27.4,35.3,High
2024-01-08 16:45:00,27.4,35.3,High
2024-01-08 16:45:02,27.4,35.3,High
2024-01-08 16:45:04,27.4,35.3,High
2024-01-08 16:45:06,27.5,35.3,High
2024-01-08 16:45:09,27.5,35.3,High
2024-01-08 16:45:11,27.4,35.3,High
2024-01-08 16:45:13,27.5,35.3,High
2024-01-08 16:45:15,27.5,35.3,High
2024-01-08 16:45:18,27.5,35.3,High
2024-01-08 16:45:20,27.5,35.3,High
2024-01-08 16:45:25,27.5,35.3,High
2024-01-08 16:45:27,27.5,35.2,High
2024-01-08 16:45:29,27.5,35.2,High
2024-01-08 16:45:34,27.5,35.2,High
2024-01-08 16:45:36,27.5,35.2,High
2024-01-08 16:45:38,27.5,35.3,High
2024-01-08 16:45:40,27.5,35.3,High
2024-01-08 16:45:43,27.5,35.3,High
2024-01-08 16:45:45,27.5,35.3,High
2024-01-08 16:45:47,27.5,35.3,High
2024-01-08 16:45:49,27.5,35.3,High
2024-01-08 16:45:52,27.5,35.3,High
2024-01-08 16:45:58,27.5,35.2,High
2024-01-08 16:46:01,27.5,35.2,High
2024-01-08 16:46:03,27.5,35.2,High
2024-01-08 16:46:05,27.5,35.2,High
2024-01-08 16:46:07,27.5,35.2,High
2024-01-08 16:46:10,27.4,35.2,High
2024-01-08 16:46:12,27.5,35.3,High
2024-01-08 16:46:16,27.5,35.2,High
2024-01-08 16:46:19,27.5,35.2,High
2024-01-08 16:46:21,27.5,35.2,High
2024-01-08 16:46:23,27.5,35.3,High
2024-01-08 16:46:25,27.5,35.3,High
